Round,Nickname,Mode,EloAfterRound,KdrAfterRound
1,RedlinerPro,1v1,1551,2.5
1,Shadow,1v1,1450,0.4
2,Phantom,1v1,1551,1.25
2,Yusi0,1v1,1450,0.8
3,Yusi0,1v1,1508,1.29
3,Specter,1v1,1457,0.4
4,Phantom,1v1,1514,1
4,Shadow,1v1,1514,0.78
5,Yusi0,1v1,1558,1.4
5,Ghost,1v1,1449,0.6
6,RedlinerPro,1v1,1589,3.33
6,Ghost,1v1,1386,0.4
7,RedlinerPro,1v1,1624,2.5
7,Specter,1v1,1391,0.5
8,Shadow,1v1,1549,0.92
8,Ghost,1v1,1321,0.53
9,Phantom,1v1,1550,1.27
9,Specter,1v1,1326,0.47
10,Yusi0,1v1,1607,1.46
10,Shadow,1v1,1498,0.83
11,RedlinerPro,1v1,1665,2
11,Phantom,1v1,1490,1.13
12,Ghost,1v1,1373,0.76
12,Specter,1v1,1277,0.45
13,Yusi0,1v1,1666,1.41
13,RedlinerPro,1v1,1623,1.6
14,Shadow,1v1,1548,1
14,Phantom,1v1,1439,0.95
15,Ghost,1v1,1300,0.73
15,Yusi0,1v1,1693,1.45
16,RedlinerPro,1v1,1664,1.61
16,Shadow,1v1,1488,0.92
17,Phantom,1v1,1473,1.14
17,Ghost,1v1,1233,0.63
18,Specter,1v1,1203,0.52
18,Yusi0,1v1,1708,1.42
19,RedlinerPro,1v1,1679,1.7
19,Ghost,1v1,1190,0.59
20,Shadow,1v1,1504,1
20,Specter,1v1,1130,0.53
21,Phantom,1v1,1515,1.2
21,Yusi0,1v1,1693,1.28
22,Specter,1v1,1173,0.62
22,Shadow,1v1,1490,0.97
23,RedlinerPro,1v1,1697,1.7
23,Phantom,1v1,1478,1.1
24,Yusi0,1v1,1707,1.35
24,Ghost,1v1,1149,0.57
25,Shadow,1v1,1504,1
25,Specter,1v1,1133,0.64
26,Phantom,1v1,1441,1.06
26,Yusi0,1v1,1722,1.34
27,RedlinerPro,1v1,1711,1.69
27,Ghost,1v1,1110,0.57
28,Specter,1v1,1173,0.71
28,Shadow,1v1,1491,0.95
29,RedlinerPro,1v1,1698,1.55
29,Phantom,1v1,1478,1.08
30,Specter,1v1,1153,0.72
30,Ghost,1v1,1140,0.63
31,Yusi0,1v1,1700,1.27
31,RedlinerPro,1v1,1724,1.51
