Nickname,Elo1v1,Kills1v1,Deaths1v1,Wins1v1,Losses1v1,Matches1v1,Tier1v1,Elo2v2,Kills2v2,Deaths2v2,Wins2v2,Losses2v2,Matches2v2,Tier2v2,EloCombined
Iluv_Aemeath,1740,58,16,11,2,13,Gold 1,1500,0,0,0,0,0,Unranked,1620
dhxowns0306,1718,39,19,7,1,8,Gold 1,1500,0,0,0,0,0,Unranked,1609
a_Yusi0,1457,2,5,0,1,1,Silver 1,1500,0,0,0,0,0,Unranked,1479
Iluv_phrolova,1314,0,15,0,3,3,Silver 2,1500,0,0,0,0,0,Unranked,1407
TOM245111,1428,21,27,3,4,7,Silver 1,1500,0,0,0,0,0,Unranked,1464
urmastera,1438,4,5,0,1,1,Silver 1,1500,0,0,0,0,0,Unranked,1469
What123567808,1646,26,17,4,2,6,Gold 2,1500,0,0,0,0,0,Unranked,1573
agw117,1390,1,10,0,2,2,Silver 2,1500,0,0,0,0,0,Unranked,1445
pp0403,1362,0,10,0,2,2,Silver 2,1500,0,0,0,0,0,Unranked,1431
35x_xxv,1209,2,20,0,4,4,Silver 3,1500,0,0,0,0,0,Unranked,1355
Adu_na,1281,6,15,0,3,3,Silver 3,1500,0,0,0,0,0,Unranked,1391
