Round,Mode,Map,Nickname,Kills,Deaths,Team,Winning Team,Score,Registrant,Weapon
1,1v1,kabuki,Iluv_Aemeath,2,5,RED,BLUE,2:5,Montelli,CASTIGATE
1,1v1,kabuki,dhxowns0306,5,2,BLUE,BLUE,2:5,Montelli,CASTIGATE
2,1v1,arc,Iluv_Aemeath,5,2,RED,RED,5:2,Montelli,CASTIGATE
2,1v1,arc,a_Yusi0,2,5,BLUE,RED,5:2,Montelli,CASTIGATE
3,1v1,arc,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
3,1v1,arc,Iluv_phrolova,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
4,1v1,arc,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
4,1v1,arc,Iluv_phrolova,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
5,1v1,highrise,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
5,1v1,highrise,Iluv_phrolova,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
6,1v1,arc,dhxowns0306,5,1,RED,RED,5:1,asdf12312,CASTIGATE
6,1v1,arc,TOM245111,1,5,BLUE,RED,5:1,asdf12312,CASTIGATE
7,1v1,highrise,dhxowns0306,5,4,RED,RED,5:4,asdf12312,CASTIGATE
7,1v1,highrise,urmastera,4,5,BLUE,RED,5:4,asdf12312,CASTIGATE
8,1v1,arc,dhxowns0306,5,3,RED,RED,5:3,asdf12312,CASTIGATE
8,1v1,arc,TOM245111,3,5,BLUE,RED,5:3,asdf12312,CASTIGATE
9,1v1,highrise,dhxowns0306,5,0,RED,RED,5:0,asdf12312,CASTIGATE
9,1v1,highrise,TOM245111,0,5,BLUE,RED,5:0,asdf12312,CASTIGATE
10,1v1,kabuki,TOM245111,5,2,RED,RED,5:2,Montelli,CASTIGATE
10,1v1,kabuki,What123567808,2,5,BLUE,RED,5:2,Montelli,CASTIGATE
11,1v1,highrise,TOM245111,5,4,RED,RED,5:4,Montelli,CASTIGATE
11,1v1,highrise,What123567808,4,5,BLUE,RED,5:4,Montelli,CASTIGATE
12,1v1,arc,TOM245111,2,5,RED,BLUE,2:5,Montelli,CASTIGATE
12,1v1,arc,What123567808,5,2,BLUE,BLUE,2:5,Montelli,CASTIGATE
13,1v1,highrise,What123567808,5,1,RED,RED,5:1,asdf12312,CASTIGATE
13,1v1,highrise,agw117,1,5,BLUE,RED,5:1,asdf12312,CASTIGATE
14,1v1,arc,What123567808,5,0,RED,RED,5:0,Montelli,CASTIGATE
14,1v1,arc,agw117,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
15,1v1,kabuki,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
15,1v1,kabuki,pp0403,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
16,1v1,arc,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
16,1v1,arc,pp0403,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
17,1v1,highrise,Iluv_Aemeath,5,1,RED,RED,5:1,Montelli,CASTIGATE
17,1v1,highrise,35x_xxv,1,5,BLUE,RED,5:1,Montelli,CASTIGATE
18,1v1,arc,Iluv_Aemeath,5,1,RED,RED,5:1,Montelli,CASTIGATE
18,1v1,arc,35x_xxv,1,5,BLUE,RED,5:1,Montelli,CASTIGATE
19,1v1,kabuki,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
19,1v1,kabuki,35x_xxv,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
20,1v1,arc,Iluv_Aemeath,5,0,RED,RED,5:0,Montelli,CASTIGATE
20,1v1,arc,35x_xxv,0,5,BLUE,RED,5:0,Montelli,CASTIGATE
21,1v1,kabuki,Iluv_Aemeath,1,5,RED,BLUE,1:5,Montelli,CASTIGATE
21,1v1,kabuki,TOM245111,5,1,BLUE,BLUE,1:5,Montelli,SIEGE
22,1v1,KABUKI,Iluv_Aemeath,5,2,RED,RED,5:2,luynnzz,CASTIGATE
22,1v1,KABUKI,Adu_na,2,5,BLUE,RED,5:2,luynnzz,CASTIGATE
23,1v1,arc,dhxowns0306,5,1,RED,RED,5:1,Montelli,CASTIGATE
23,1v1,arc,Adu_na,1,5,BLUE,RED,5:1,Montelli,CASTIGATE
24,1v1,arc,dhxowns0306,5,3,RED,RED,5:3,Montelli,CASTIGATE
24,1v1,arc,Adu_na,3,5,BLUE,RED,5:3,Montelli,CASTIGATE
25,1v1,ARC,dhxowns0306,4,5,RED,BLUE,4:5,sin_ibeom,CASTIGATE
25,1v1,ARC,What123567808,5,4,BLUE,BLUE,4:5,sin_ibeom,CASTIGATE
26,1v1,kabuki,Iluv_Aemeath,5,3,RED,RED,5:3,asdf12312,CASTIGATE
26,1v1,kabuki,a_Yusi0,3,5,BLUE,RED,5:3,asdf12312,CASTIGATE
